7.8	1.01e8
7.86	1.01e9
7.9	1.01e10
8.15	1.01e11
11.6	1.21e12
16.4	1.4e13
45.1	1.7e14
212.	5.82e15
1150.	1.9e17
10440.	9.744e18
26220.	4.968e19
65870.	2.431e20
165400.	1.151e21
415600.	5.266e21
1.044e6	2.318e22
2.622e6	9.755e22
6.588e6	3.911e23
8.293e6	5.259e23
1.655e7	1.435e24
3.302e7	3.833e24
6.589e7	1.006e25
1.315e8	2.604e25
2.624e8	6.676e25
3.304e8	8.738e25
5.237e8	1.629e26
8.301e8	3.029e26
1.045e9	4.129e26
1.316e9	5.036e26
1.657e9	6.86e26
2.626e9	1.272e27
4.164e9	2.356e27
6.601e9	4.362e27
8.312e9	5.662e27
1.046e10	7.702e27
1.318e10	1.048e28
1.659e10	1.425e28
2.09e10	1.938e28
2.631e10	2.503e28
3.313e10	3.404e28
4.172e10	4.628e28
5.254e10	5.949e28
6.617e10	8.089e28
8.332e10	1.1e29
1.049e11	1.495e29
1.322e11	2.033e29
1.664e11	2.597e29
1.844e11	2.892e29
2.096e11	3.29e29
2.64e11	4.473e29
3.325e11	5.816e29
4.188e11	7.538e29
4.299e11	7.805e29
4.46e11	7.89e29
5.228e11	8.352e29
6.61e11	9.098e29
7.964e11	9.831e29
9.728e11	1.083e30
1.196e12	1.218e30
1.471e12	1.399e30
1.805e12	1.683e30
2.202e12	1.95e30
2.93e12	2.592e30
3.833e12	3.506e30
4.933e12	4.771e30
6.248e12	6.481e30
7.801e12	8.748e30
9.611e12	1.17e31
1.246e13	1.695e31
1.496e13	2.209e31
1.778e13	2.848e31
2.21e13	3.931e31
2.988e13	6.178e31
3.767e13	8.774e31
5.081e13	1.386e32
6.193e13	1.882e32
7.732e13	2.662e32
9.826e13	3.897e32
1.4029690647543258e14	9.661950890786137e32
1.7358295178028706e14	1.9250790575684898e33
2.07392937072063e14	3.3606003727726736e33
2.4170523479325644e14	5.300940710226191e33
2.7651016033538962e14	7.786459596697621e33
3.1189361962303856e14	1.0928232549331242e34
3.47917960555923e14	1.4823325206343935e34
3.846459286768475e14	1.957189407031362e34
4.2214297344057144e14	2.527818042711163e34
4.604777753349622e14	3.2049737873734033e34
4.9972227726498e14	3.9995877391995987e34
5.399514669313216e14	4.922562420356189e34
5.812429889770015e14	5.98454202306423e34
6.236766352459391e14	7.195682735487638e34
6.673337615788998e14	8.565449430134776e34
7.122966839199888e14	1.0102461602475454e35
7.586481062548415e14	1.1814403800167652e35
8.064706256917422e14	1.3708005600765301e35
8.55846346929981e14	1.5789086047965579e35
9.068566225136315e14	1.8062649692797062e35
9.595819200843919e14	2.0533017305003902e35
1.0141018058941415e15	2.3203973945080043e35
1.0704950263306115e15	2.607891949226218e35
1.128839666043137e15	2.9161010599910984e35
1.1892133615066908e15	3.2453287208180307e35
1.2516935513079402e15	3.595878038208403e35
1.316357747947979e15	3.9680600983323745e35
1.383283819685888e15	4.3622010475620306e35
1.452550274380479e15	4.7786476144135515e35
1.5242365401608525e15	5.217771339021287e35
1.5984232400113275e15	5.679971775105821e35
1.6751924590306375e15	6.165678905936485e35
1.7546280043047068e15	6.675354982151704e35
1.8368156581324502e15	7.209495953301556e35
1.921843425849935e15	7.76863263106375e35
2.0098017798052128e15	8.353331692440642e35
2.1007839011993332e15	8.964196606573868e35
2.1948859215841418e15	9.601868549023286e35
2.292207165828731e15	1.026702735193443e36
2.392850398356626e15	1.0960392526794977e36
2.4969220744361965e15	1.1682724387789228e36
2.604532598285825e15	1.2434825297480739e36
2.7157965897428675e15	1.3217541052171646e36
2.8308331612445395e15	1.4031762421370285e36
2.9497662068844405e15	1.4878426854015952e36
3.0727247053410935e15	1.5758520363194863e36
3.199843038527245e15	1.66730796008424e36
3.3312613278806115e15	1.7623194134212427e36
3.4671257903106405e15	1.8610008936606383e36
3.607589115931611e15	1.9634727105912788e36
3.7528108698518045e15	2.069861282586952e36
3.902957920453408e15	2.1802994586594075e36
4.0582048967894615e15	2.294926868281951e36
4.218734677945202e15	2.4138903010426752e36
4.384738917464723e15	2.5373441184284305e36
4.55641860623255e15	2.6654507003118374e36
4.733984677528176e15	2.7983809290163607e36
4.917658658343825e15	2.936314714172734e36
5.107673371478072e15	3.079441561958124e36
5.304273693395539e15	3.2279611927327254e36
5.507717373384896e15	3.382084211563672e36
5.718275920160669e15	3.5420328366602195e36
5.936235562751041e15	3.708041691346462e36
6.161898293304236e15	3.8803586658781084e36
6.395583000345429e15	4.0592458561804484e36
6.637626702040404e15	4.2449805874595106e36
6.888385890190036e15	4.4378565316337005e36
7.14823799701588e15	4.6381849286690976e36
7.417582998325531e15	4.846295923199788e36
7.696845168401688e15	5.062540029303017e36
7.986475003976707e15	5.2872897380091455e36
8.286951336980192e15	5.520941284096142e36
8.598783658434415e15	5.763916590993297e36
8.922514678984262e15	6.01666541525275e36
9.258723155162396e15	6.279667715105388e36
9.608027014697058e15	6.553436271177534e36
9.971086819081604e15	6.838519591600794e36
1.0348609607376334e16	7.135505138614106e36
1.074135317196569e16	7.445022919472102e36
1.1150130824951076e16	7.767749491208304e36
1.1575816723261608e16	8.104412436761285e36
1.2019351831716298e16	8.455795379413209e36
1.248175061654129e16	8.822743613728263e36
1.296410857769576e16	9.206170444604069e36
1.3467610747366278e16	9.607064342151545e36
1.399354130486757e16	1.0026497039506923e37
1.4543294485848664e16	1.0465632724125353e37
1.5118386997285962e16	1.0925738501579596e37
1.5720472190712988e16	1.1408196345630527e37
1.6351356296347752e16	1.1914516790930753e37
1.7013017082637082e16	1.2446354677211225e37
