rho [g cm^-3],p [dyn cm^-2],nb [fm^-3]
281829168723547.44,4.365706465715383e+33,0.16577337
299154749251751.06,5.353312066492044e+33,0.17577337
316547478287028.3,6.490780255424793e+33,0.18577337
334013037108826.3,7.78879275814934e+33,0.19577337
351557127896797.9,9.257779414833747e+33,0.20577337
369185455516932.6,1.090791517886107e+34,0.21577337
386903713174179.5,1.2749107230890225e+34,0.22577337
404717572486875.9,1.479097900731528e+34,0.23577337
422632670161587.7,1.7042852840277636e+34,0.24577337
440654599750750.7,1.951373157591616e+34,0.25577337
458788900738712.56,2.221228145585871e+34,0.26577337
477041053131898.75,2.5146814270299696e+34,0.27577337
495416466046172.44,2.832527314620315e+34,0.28577337
513920472052148.3,3.1755218740343577e+34,0.29577337
532558320768686.1,3.544381746033931e+34,0.30577337
551335171647238.7,3.939783283768019e+34,0.31577337
570256088751953.1,4.362362091115315e+34,0.32577337
589326034958037.1,4.812712630349741e+34,0.33577337
608549868112379.8,5.291388364074227e+34,0.34577337
627932336411445.4,5.798901985703572e+34,0.35577337
647478075095281.4,6.335726466694298e+34,0.36577337
667191604574882.4,6.902296250001921e+34,0.37577337
687077326879447.2,7.499007443581234e+34,0.38577337
707139525257680.4,8.126222104839902e+34,0.39577337
727382363324271.1,8.784267180723723e+34,0.40577337
747809885606233.2,9.473439250822125e+34,0.41577337
768426016753791.8,1.0194006532567104e+35,0.42577337
789234564173300.9,1.094621107869335e+35,0.43577337
810239217831435.1,1.1730272595374952e+35,0.44577337
831443557331845.5,1.2546389723966707e+35,0.45577337
852851049376350.5,1.3394745800252674e+35,0.46577337
874465054688258.1,1.4275511379113463e+35,0.47577337
896288826277521.5,1.5188844520439867e+35,0.48577337
918325535008078.6,1.6134899620266913e+35,0.49577337
940578241623105.8,1.711382495200917e+35,0.50577337
963049916222009.8,1.8125766241792775e+35,0.51577337
985743457507417.1,1.917087549033954e+35,0.52577337
1008661677349940.0,2.0249303395824325e+35,0.53577337
1031807329049555.4,2.1361211609373427e+35,0.54577337
1055183073450266.6,2.2506767444740906e+35,0.55577337
1078791535797850.5,2.3686149506904856e+35,0.56577337
1102635262545718.0,2.4899549092732862e+35,0.57577337
1126716781060039.0,2.614716961849215e+35,0.58577337
1151038525651830.8,2.742922957710446e+35,0.59577337
1175602938202117.5,2.8745960738751954e+35,0.60577337
1200412403502815.8,3.009761287300464e+35,0.61577337
1225469261412910.8,3.1484450738543792e+35,0.62577337
1250775841317067.0,3.2906754666717337e+35,0.63577337
1276334467150411.0,3.43648220836077e+35,0.64577337
1302147396520956.0,3.5858964829440435e+35,0.65577337
1328216932221788.2,3.738951356027643e+35,0.66577337
1354545306099878.2,3.8956810528304376e+35,0.67577337
1381134770108250.0,4.056121477784934e+35,0.68577337
1407987590514525.8,4.220309769313729e+35,0.69577337
1435105981998576.2,4.388284485004818e+35,0.70577337
1462492191573290.2,4.5600854523613486e+35,0.71577337
1490148455822123.8,4.73575360032526e+35,0.72577337
1518077015735156.0,4.915331007342585e+35,0.73577337
1546280107567784.2,5.0988605909705466e+35,0.74577337
1574759990670420.2,5.286386374086696e+35,0.75577337
1603518913197370.8,5.477953034181642e+35,0.76577337
1632559139769041.5,5.6736061599551386e+35,0.77577337
1661882928499529.8,5.873391897664404e+35,0.78577337
1691492559328798.0,6.077356823627177e+35,0.79577337
1721390323876411.2,6.285548452607339e+35,0.80577337
1751578500626712.5,6.49801434693844e+35,0.81577337
1782059411090688.5,6.714802481390601e+35,0.82577337
1812835354000319.5,6.9359613690653e+35,0.83577337
1843908661972926.2,7.161539519364024e+35,0.84577337
1875281647526703.5,7.391585817274782e+35,0.85577337
1906956661085012.2,7.626149099224642e+35,0.86577337
1938936035651971.8,7.865278541979312e+35,0.87577337
1971222160992749.0,8.109023228882614e+35,0.88577337
2003817367792472.5,8.35743211781297e+35,0.89577337
2036724046512187.5,8.610554444502537e+35,0.90577337
2069944590222030.0,8.868439127634048e+35,0.91577337
2103481348920601.5,9.131135025436892e+35,0.92577337
2137336753248218.8,9.398691061581888e+35,0.93577337
2171513208624590.5,9.671155906100308e+35,0.94577337
2206013094411358.0,9.948577943340363e+35,0.95577337
2240838843954626.2,1.023100554939156e+36,0.96577337
2275992882560851.5,1.0518486919726806e+36,0.97577337
2311477627496838.0,1.0811069729293169e+36,0.98577337
2347295504668221.0,1.1108801890159844e+36,0.99577337
2383449037395918.0,1.1411730925048957e+36,1.0057734
2419940496042968.0,1.1719903702687765e+36,1.0157734
2456772407671550.0,1.2033367156154654e+36,1.0257734
2493947223266313.5,1.2352168210016249e+36,1.0357734
2531467388452142.5,1.2676353285260063e+36,1.0457734
2569335343494151.0,1.3005968267250958e+36,1.0557734
2607553558999545.5,1.3341059327466245e+36,1.0657734
2646124465518862.0,1.3681671897359158e+36,1.0757734
2685050542800613.5,1.402785149810481e+36,1.0857734
2724334230536643.5,1.4379642862788948e+36,1.0957734
2763978000770800.0,1.473709113650454e+36,1.1057734
2803984303508682.5,1.5100240641007284e+36,1.1157734
2844355584736067.0,1.546913573650512e+36,1.1257734
2885094324465657.5,1.5843820457716297e+36,1.1357734
2926202961648535.0,1.6224338314274504e+36,1.1457734
2967683969932681.5,1.6610733007397424e+36,1.1557734
3009539800760338.5,1.7003047504010212e+36,1.1657734
3051772902223895.5,1.7401324946600256e+36,1.1757734
3094385719065886.5,1.7805607901300728e+36,1.1857734
3137380732735657.5,1.821593871702594e+36,1.1957734
3180760382280990.0,1.8632359903832872e+36,1.2057734
3224527123763130.0,1.905491316699019e+36,1.2157734
3268683369501820.5,1.948364035688745e+36,1.2257734
3313231610590191.0,1.9918583081060532e+36,1.2357734
3358174274184040.0,2.0359781897801167e+36,1.2457734
3403513784089315.5,2.0807278891664517e+36,1.2557734
3449252603163672.5,2.1261115101165936e+36,1.2657734
3495393128150029.5,2.1721329456719393e+36,1.2757734
3541937837914549.5,2.2187962820600807e+36,1.2857734
3588889144873673.5,2.266105599099904e+36,1.2957734
3636249458093990.0,2.3140649702015894e+36,1.3057734
3684021205330477.5,2.36267804074633e+36,1.3157734
3732206833863970.5,2.4119492865384656e+36,1.3257734
3780808721845696.0,2.4618823337330696e+36,1.3357734
3829829311029227.5,2.5124810048757663e+36,1.3457734
3879270995741797.5,2.5637493269136138e+36,1.3557734
3929136189836487.0,2.615691320384962e+36,1.3657734
3979427304486497.5,2.6683105585730554e+36,1.3757734
4030146701763759.0,2.721611261611149e+36,1.3857734
4081296809854935.5,2.7755967551222855e+36,1.3957734
4132880007845420.0,2.830271465243328e+36,1.4057734
4184898671470751.0,2.8856386903603174e+36,1.4157734
4237355196997280.5,2.941702388526715e+36,1.4257734
4290251978011471.5,2.998466281351017e+36,1.4357734
4343591356988608.5,3.055934309262743e+36,1.4457734
4397375745533577.0,3.1141099398014795e+36,1.4557734
4451607455038809.0,3.1729970909662724e+36,1.4657734
4506288891079455.0,3.232599437902496e+36,1.4757734
4561422407449506.0,3.292920642938112e+36,1.4857734
4617010354593106.0,3.3539641159343466e+36,1.4957734
