a2 [MeV^2],a4 [dimensionless],B^(1/4) [MeV],rho_surface [10^15 g cm^-3],cs_min [dimensionless],rho_center_max [10^15 g cm^-3],M_max [solar mass],cs_max [dimensionless],rho_center_canonical [10^15 g cm^-3],R_canonical [km],Lambda_canonical [dimensionless],rho_center_k2_max [10^15 g cm^-3],k2_max [dimensionless]
2656.2613555611897,0.47013546925184796,122.01440004942484,0.21333707064290705,0.5705734246520491,1.0380941144312406,2.7525233247521177,0.574614480053472,0.306954023760431,13.924056495366592,2311.2467222008218,0.21386271153737804,0.7426364903362621
-12925.62412709932,0.07171005785660448,108.73495458895057,0.2545711773634686,0.5012054642580343,1.4052041517311962,2.247937591837075,0.547799768664865,0.4363885112286643,12.820323895808773,1302.1239413301007,0.25539748170474386,0.7423606374106722
-43897.545841232495,0.5215318208753371,148.5926154409045,0.7012027275572527,0.5192063888054589,3.736119515940593,1.3976959949609211,0.5545689876391545,10.0,inf,inf,0.7033092417773048,0.7424586609422662
28712.473287731947,0.5019624697794617,102.63396580714351,0.19373974672742547,0.5039865129052686,1.0635215154836564,2.589569162992906,0.5488387145494259,0.303726422538576,14.208381404215544,2542.8641655118063,0.19436099484033065,0.7423763821677931
-72961.25216532573,0.19186367859966963,146.26756054768825,1.5825919665875976,0.47334461156465424,9.267617181441546,0.8562987679293638,0.5375517107632807,10.0,inf,inf,1.5884371868899732,0.7421650666806574
-71927.16509687359,0.43954934321393163,155.03522870362082,1.136510323525126,0.4965065022131521,6.333839952975703,1.0549663754323646,0.546052484776142,10.0,inf,inf,1.1402774546367676,0.7423323193135011
-32386.329532213233,0.20619744824032965,130.3601482200576,0.5367980118357352,0.4999091456698722,2.970820618604527,1.5444610648330004,0.5473167014709437,1.5075179258024405,9.380797458444526,135.17544223366696,0.5385504041249722,0.7423532015389771
-65465.16333432683,0.6580875985596025,167.3595029110478,1.1539752909622318,0.5172149898658873,6.172099750480543,1.0858149462625155,0.5538142344206013,10.0,inf,inf,1.157471087809027,0.7424491862514193
-5454.70839595767,0.09204717238073329,95.96319564807865,0.1063334785543023,0.5330241469882419,0.5520650895849045,3.673511094232232,0.5598487744585621,0.14196362870996654,17.72867917444504,10066.333569997778,0.10663533431509858,0.7425222105819029
-78715.1991841216,0.07462399822939211,150.26417496927976,3.620965355262923,0.45937989101679483,10.0,0.5276322319231698,0.5096213162682817,10.0,inf,inf,3.6255690372795946,0.74743400724228
60696.285708448806,0.8217094561556121,107.42254798978621,0.3291834841014445,0.48511879125556295,1.8788839744145105,1.9197534050893499,0.5418504319234607,0.6604804894464716,11.522448221886167,621.2737732728823,0.33033306247426,0.742254304033008
33766.689746194825,0.7239164229748942,125.56677640015609,0.3432015409934103,0.5230274621609671,1.8154034507441696,2.0108557361947588,0.5560215743231252,0.6267513909006186,11.515545050536016,640.0431057401224,0.3442163229989202,0.7424765462334536
-31406.995770969726,0.272050414631335,131.0946234694595,0.4850237943095559,0.5083452482439634,2.6393854323109216,1.6492700160667952,0.5504704363788849,1.1610488788634739,9.906598669911268,210.8646853628858,0.48654973569039167,0.7424019419790275
45636.64134985827,0.9002235304916174,127.13533253205959,0.3907334897970981,0.5157816070307651,2.095532042080327,1.861418535932224,0.5532712350319109,0.7782146118906036,10.90356798019834,432.9331260353752,0.39192425597123554,0.7424417318514863
14831.227582417487,0.3129656138235463,95.33058949766912,0.12225585242434048,0.5166657430430406,0.6546107469003513,3.3328076169883634,0.5536068405515547,0.17024643923629315,16.82763874640142,7310.5403968674245,0.12262708551829042,0.742446616341068
-79074.32933346243,0.49812019805186386,173.7932547736296,1.5541204614685176,0.5056925389346697,8.501435751642752,0.9170736830616432,0.5494754913437846,10.0,inf,inf,1.5590663005597778,0.7423883385407026
-47036.030981986296,0.3950508423236281,144.556819936203,0.7270620976703082,0.5073307910093737,3.9644476941693636,1.3446648156408652,0.5500898582605476,10.0,inf,inf,0.7293595907038205,0.7423965311754931
-14464.541898902273,0.6848855790546263,146.3149436738516,0.4788786436696419,0.5569627353845484,2.3837558602656514,1.798988173018183,0.5691882810256924,0.9434243378428182,10.215404557088595,280.0060579674181,0.480118439272164,0.7426023606333647
-13541.119182424853,0.9789239940857583,155.38894448266083,0.5867677723806328,0.5629203476674568,2.8914905304394103,1.6403405064032397,0.5715523577981767,1.3141143050875452,9.397385883410657,149.28831593585556,0.5882538800279844,0.7426189292816386
-58568.07103346537,0.2561563705740551,156.0137301301722,1.2166725319105536,0.49409442490083727,6.814353411154727,1.0151752693475828,0.5451584148344725,10.0,inf,inf,1.2207494625113453,0.7423169382788084
-41929.210393958136,0.5409452305716486,158.0760971267518,0.8277894790003669,0.5270501573492443,4.345900288102856,1.3035796423249335,0.557557410820382,10.0,inf,inf,0.8301971149459131,0.7424950014388506
-6277.0462833886995,0.48567697914796926,131.8429212822307,0.3019204750633772,0.5641102174012969,1.484905875149577,2.290967324754692,0.5720266557973114,0.4797082297035514,12.244166716482127,998.3199299204781,0.3026818754785246,0.7426213249797433
-49621.035616147004,0.20734379950427761,141.33945236627005,0.9281197292747921,0.4878388365102538,5.266688206660824,1.149081074639084,0.5428493883354206,10.0,inf,inf,0.9313200524983971,0.7422745391627461
14979.3041102672,0.4650874359023254,118.32441180297383,0.23066566964417537,0.5405246658150724,1.1815379814404343,2.5250076340756458,0.5627487015336168,0.3541639890384629,13.448641619553811,1824.1980356236472,0.23130140477398115,0.7425490948021193
