a2^(1/2) [MeV],a4 [dimensionless],B^(1/4) [MeV],"eos_type [0, 1, or 2]",rho_surface [10^15 g cm^-3],cs_min [dimensionless],rho_center_max [10^15 g cm^-3],M_max [solar mass],cs_max [dimensionless],rho_center_canonical [10^15 g cm^-3],R_canonical [km],Lambda_canonical [dimensionless],rho_center_k2_max [10^15 g cm^-3],k2_max [dimensionless]
441.4039458352695,0.22325351923014708,240.63608278953558,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
334.5188142089328,0.6546823007000425,51.888016123463295,1.0,1.0000000000000002e-14,0.0,2.060978514575475,2.274214410519999,0.9382323523731012,0.7300121427105624,12.588891686112445,520.7100098160978,0.5244427736579523,0.11753288548485955
439.83646260684145,0.4665773540136846,293.52585488249406,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
256.28746456652215,0.935854450964866,161.63341738613116,1.0,1.0000000000000002e-14,0.0,1.9729229384731548,1.9739242025491919,0.5409979908289988,0.7300121426134683,12.588890350062151,520.7100103032491,0.52446119483266,0.11753270331817482
476.6869559082596,0.6135451766374195,238.56464287854973,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
94.059520200666,0.6220363363301559,174.03988868827682,1.0,1.0000000000000002e-14,0.0,2.435306256650978,2.1706903742509542,0.5720604248983006,0.7300121426158644,12.588890316866836,520.7100102912013,0.5244431693244912,0.11753284993330462
20.18233450394678,0.46891993310567043,266.16310637865814,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
22.82921022927192,0.3324215397963612,176.91072194672353,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
236.98579395659254,0.5083385532289671,98.21233437122171,1.0,1.0000000000000002e-14,0.0,2.1152037698882706,2.276523161236649,0.944649677824037,0.7300121427069228,12.588891669629161,520.710009837015,0.5244434069429926,0.11753286171319864
542.90955825851,0.9335135309748906,182.97236499943625,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
85.20091843029893,0.9122156055077115,196.86229102058454,1.0,1.0000000000000002e-14,0.0,2.308219898206825,1.9727186317465744,0.5735382949204927,0.7300121426266128,12.58889019627019,520.7100102293396,0.5244628774869112,0.11753270794845891
246.16631211663088,0.7783545802952097,199.7816891151554,1.0,1.0000000000000002e-14,0.0,4.394565069572796,2.2483946878179517,0.5528937141408576,0.7300121427149975,12.588892825562189,520.7100097858008,0.5244462197379419,0.11753300428397423
3.946915148020371,0.6414235036353896,178.28392289273384,1.0,1.0000000000000002e-14,0.0,2.206080840385975,2.120744501768386,0.5773405749707406,0.7300121427207307,12.588891736576949,520.7100097672393,0.5244592202578258,0.11753324945563025
184.80559450602334,0.4230844882070837,90.69026411436843,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
264.05243707588295,0.15193023096873992,17.40861579658119,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
329.99887792739963,0.9353523288187197,25.343834471824906,1.0,1.0000000000000002e-14,0.0,1.656193928362988,1.9618282465924977,0.5128576926467927,0.730012142618896,12.588890278612093,520.7100102782559,0.5244599805081198,0.11753269876537398
483.3058120996359,0.9477462245663986,217.7645041032283,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
126.77478569190902,0.8667117676411177,329.7759289238615,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
302.7431633381727,0.5898491189793174,296.0211123639671,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
498.7237497691437,0.7940813373406561,278.942747710628,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
316.10440591057517,0.4723688670100081,349.81080113049325,0.0,1.0000000000000002e-14,5.219805779483727e-06,2.2815660056620244,2.2792568620007527,0.9628433594424015,0.7300121427590014,12.588892272333943,520.7100095638465,0.5244739205621297,0.11753310447543014
