a2 [10^3 MeV^2],a4 [dimensionless],B^(1/4) [MeV],rho_surface [10^15 g cm^-3],cs_min [dimensionless],rho_center_max [10^15 g cm^-3],M_max [solar mass],cs_max [dimensionless],rho_center_canonical [10^15 g cm^-3],R_canonical [km],Lambda_canonical [dimensionless],rho_center_k2_max [10^15 g cm^-3],k2_max [dimensionless]
-126.20720175241127,0.38662830020362055,174.7053115089436,0.515939937792887,0.6759107083479792,1.918778202805419,2.308714962249156,0.7788268518326137,0.7086776080168938,10.447522924018156,369.8453068463628,0.5166747823096477,0.7423278964602157
-8.986240281483246,0.5717744375643818,143.86761906862634,0.3685052708447742,0.5838265853636104,1.7299309973358603,2.1658020622636402,0.5931595190488151,0.5918122297220663,11.44627380248168,643.5499289527002,0.36934523746418374,0.7426765512085919
-122.18745550290146,0.4097638384866568,174.07605386942126,0.5147183390857105,0.6701902187894704,1.9330787638320486,2.2876308763872406,0.7695051277664822,0.7132843838004089,10.444100474275825,367.948218234039,0.5154641477371801,0.7423733257972774
-59.226076558835864,0.5636234780738546,156.93598093548349,0.4009856334461571,0.6201498717176557,1.6786732357138565,2.3195550718926228,0.675392930805575,0.5818725101410638,11.280246518342993,605.3137307577189,0.40170268343905724,0.7426623005577897
-94.29482200247617,0.4743243685195696,170.1184650812518,0.5026977081712979,0.6445054645804179,1.984838553656055,2.197549821318323,0.7240334419867961,0.7288653587224267,10.466126042927177,367.61149053012275,0.5034972613796357,0.7425497378116277
13.470204343739722,0.5759818635518824,131.81669607740588,0.32558078282372754,0.5522557093623558,1.6338108395850985,2.165676216361713,0.5673320933922957,0.5429857877000577,11.864120608339375,801.8165856853117,0.32643867894439144,0.7425881762571236
-137.31827261534576,0.33250951540905116,177.38991855982104,0.5336888140554562,0.6906976930523393,1.938940437298762,2.327377598525872,0.8015957998963583,0.7226853091351424,10.349164694134418,348.52231394955896,0.5344197358734815,0.7422023469236058
-25.33210904633702,0.5322920223326836,150.4741585052928,0.39426202909075586,0.59593009389836,1.773759934822886,2.1803177710032093,0.6218000575254248,0.615700312827928,11.234949084393293,575.0247144312358,0.39508218288813896,0.7426984963053835
-125.70199195979897,0.4186879677783521,175.43840341892573,0.5307827229316192,0.6703949887620964,1.992719869627128,2.253601006266735,0.7698448389498608,0.7407463888919821,10.328772464994325,340.4591223674112,0.5315513305546485,0.7423716235545151
-8.141049200367881,0.6007622415252161,142.29204034500174,0.35511808292012387,0.5831755803971974,1.6711718252814287,2.2012022669940956,0.5915854962131989,0.5649763828272846,11.601840735103051,705.0342745442176,0.35593181788795225,0.7426742694686379
12.95670178671967,0.6313635020206222,132.61055454202963,0.3286664671480086,0.5543976212382925,1.643228707183222,2.1627871571893564,0.5681754966548145,0.547502648305364,11.829043530459426,786.9384601867985,0.3295255549805953,0.7425946566526302
-65.37069877160839,0.5931007533034104,161.50746068067687,0.44807828112692333,0.6209383673427732,1.871869033467709,2.19884819619809,0.6770505433517995,0.6688413878493173,10.832548609757662,458.6224596913577,0.4488760908144719,0.7426599075195627
13.89178643343068,0.6150707117447943,130.05054507796655,0.3097219758166926,0.5516749793547507,1.555772797264218,2.2183880332369355,0.5671037273501035,0.5082715946279448,12.088090867790278,909.445238816547,0.31053986314430937,0.7425864582134557
-56.063579277482816,0.5679804919654988,156.7545983058266,0.4045489844612891,0.6174527471838205,1.7059389234319073,2.292726380961214,0.6696781070364037,0.5928024339715425,11.232903536252886,586.8800274647482,0.4052833232292351,0.7426706638395909
-120.82533663864821,0.35577553731500167,176.08419435808833,0.5345044512933251,0.6740089364834044,1.9942343284735662,2.2605746011530394,0.7757612521998605,0.7426011758553618,10.310638011849496,336.91954629679645,0.5352700099541724,0.7423430768735184
-131.0596186905203,0.3815473015413378,177.5926657362278,0.5495138483790802,0.6771651226507751,2.039441511149005,2.242048362757915,0.7808351980474781,0.7645797368486669,10.214261956289794,315.8744668728213,0.5502937221055968,0.7423173644609722
-116.60728475756291,0.5002929549229961,170.98605503271648,0.4915853187875199,0.6593728754181669,1.8831162307835727,2.292755131296466,0.7510798351218656,0.6869454168920048,10.593721077434648,403.8760402653441,0.4923236336249717,0.7424535980547955
9.07706357608788,0.6177835074459136,131.5839703303254,0.3062521069546042,0.5604995368931893,1.5153602121647447,2.262028208063631,0.5705897945310678,0.4920936962405284,12.168023146710906,955.5884705133616,0.30703469257567595,0.742611899980396
39.57776667070866,0.6942125433541673,114.40474679939658,0.28768445384489244,0.5067106590658513,1.5706541548900563,2.135345404296412,0.5498580270122383,0.5091586715717284,12.258349772543317,968.8894971530609,0.2885960292630896,0.742392188918024
-128.17278959841676,0.2839747540975048,179.8024599844842,0.5652635957275042,0.6886540993412963,2.0600098137792893,2.253992260881513,0.7985630782459565,0.7777587035102954,10.132904349933396,300.1673202566186,0.5660416504654673,0.7422201717922718
-118.96327049259644,0.6210465482409486,173.52378512776167,0.5364442457173545,0.6491173968668476,2.097509552239808,2.1487866223162198,0.7326400055658303,0.783739086532579,10.232951564463676,314.63679089429286,0.537281578575568,0.7425216069218257
-59.157627705162774,0.4490672556678324,163.4156417953827,0.4678455815544578,0.6217391036594894,1.9502570225106566,2.156413676604177,0.6787271586112107,0.7057413195689032,10.664093130129123,411.50177743602546,0.46867495373451573,0.7426575568518123
-43.90476890407337,0.6700136967234108,156.02056505109442,0.4260933231396737,0.6052325683350221,1.8611845541151364,2.15810041707026,0.6429842296768588,0.6589943076580623,10.963801722845337,490.9209412664723,0.4269258099636,0.7426955434361142
