a2^(1/2) [MeV],a4 [dimensionless],B^(1/4) [MeV],rho_surface [10^15 g cm^-3],cs_min [dimensionless],rho_center_max [10^15 g cm^-3],M_max [solar mass],cs_max [dimensionless],rho_center_canonical [10^15 g cm^-3],R_canonical [km],Lambda_canonical [dimensionless],rho_center_k2_max [10^15 g cm^-3],k2_max [dimensionless]
39.06508411517375,0.8063868067074366,147.07263548560545,0.43896052112220946,0.5752775433599119,2.1195901898273153,1.932610184888093,0.576511011656101,0.7850543403321784,10.649363456649505,384.29160375257845,0.44029956085011135,0.7407553422161048
227.5355903123374,0.9163795198914603,122.05547646758872,0.37278047033781386,0.5066967791332374,2.0351920043215306,1.875817631577543,0.5498520316981699,0.7448862798290287,11.068066201673536,477.621890712378,0.37426741461898283,0.7404373932719082
90.94603219644134,0.7469877180817508,135.9591018107782,0.34140504704315555,0.5641211619255788,1.6790060952030355,2.154459915316931,0.5720309167428544,0.5649658046111814,11.691823688382131,731.3395074568377,0.34248884537731783,0.7407236688877182
141.14065145579585,0.9106764360800892,144.37972446079007,0.46714053385239845,0.5527089968085004,2.342303418950148,1.809303793424896,0.5675103123613793,0.9185904834727051,10.30140750793876,296.6917872870929,0.468687438886175,0.7406837469378055
62.90068475806577,0.5664132449368977,131.620928778713,0.29067545975107584,0.5694721435887493,1.4169518455425913,2.354140543099614,0.5741720527732386,0.45227849930861164,12.434171740406237,1109.165246404483,0.2915806202372581,0.7407393842327239
147.35940970132577,0.7999989761006143,135.03665666613503,0.3765519595365032,0.5454642982423669,1.9120565374417227,1.9920885553355516,0.5646714004486867,0.6760569314274898,11.195172750836072,535.1475740251967,0.3778337278667994,0.7406544937464601
82.14664073617539,0.181672032404352,93.00126702239687,0.09191046444582618,0.5353445760530697,0.4752134645170875,3.9663964169820374,0.5607440197771902,0.11998095381987872,18.666603316154596,13683.40297324132,0.09223593576600957,0.7406083768951006
55.57090019069732,0.3764311798299945,115.606408708177,0.1748296210146629,0.5676252460337693,0.8548177355782759,3.026939991761212,0.5734314325913327,0.24283476018278113,14.946872534012913,3604.107366802025,0.17537764028489258,0.740734243886333
24.014013323566914,0.6810673928130131,146.7101994254718,0.4318754130705721,0.5764910419548488,2.0813024911488966,1.9519581079655983,0.5770020952803963,0.7643445725602858,10.721627593143152,403.6180696378127,0.4331872492204347,0.7407583516460808
52.06564349663088,0.2568363068299858,104.53056298209232,0.11879841252534089,0.5648147026357324,0.5835694677504458,3.6562189066257442,0.5723076456474051,0.15573258050913522,17.129366478909148,8277.018285718113,0.11917459434153325,0.7407259534748879
25.426656558274438,0.467730022801194,127.13356198970136,0.24441369103456626,0.5758051247969019,1.1792005420088718,2.592024698370924,0.576724426797482,0.3598346946233664,13.268389826304743,1700.9593353676214,0.24515790301682922,0.7407564575839686
31.333020098628197,0.21506783776754493,100.98664272953042,0.09936354740162344,0.5719237246276007,0.4824208182426309,4.041495079462399,0.5751577014471279,0.1264779887393456,18.25080906214316,12103.96340735983,0.09967027042034421,0.7407464655683268
46.118950870889044,0.824794786037138,144.4570745259618,0.4104824257792539,0.5743964607511676,1.9849543628564434,1.995872892251445,0.5761549394661029,0.7138399224904005,10.928396462974684,461.3412115350965,0.41173851760497227,0.7407528109591708
173.82418642005706,0.9986745133345775,140.82056722019712,0.4594367314331672,0.5414260957463185,2.3496808251757626,1.791751511907194,0.5630990368127818,0.9269153995394185,10.321728600313836,297.90746692031877,0.461025278480518,0.7406367561141848
87.7331484437152,0.764671708475645,137.14316530562277,0.3508832200680402,0.5653470298418691,1.7221010761524382,2.1291780449725555,0.5725201916527308,0.5849287615718147,11.575004139206396,683.3908192347235,0.35199216636530134,0.7407274825935886
44.40566347712833,0.626870018900026,133.62437156092898,0.3016763964804675,0.5736862673314991,1.4604766027616316,2.3256467983998563,0.5758682031196513,0.4710385830038668,12.276333743874128,1021.2391993024904,0.3026018441752485,0.7407510146026403
152.1146863678671,0.5811004206800257,117.48349906232582,0.24904108501334032,0.5285038038253803,1.3039038677008163,2.3824285075737146,0.558113617151712,0.3994489593731939,13.033176075971571,1477.5586234452203,0.24994752789322133,0.7405729110979018
103.57804813784074,0.43457512035406387,122.17553164889688,0.2428711324989747,0.5507145784937593,1.2219687028530015,2.5013532212437664,0.5667263289428969,0.3714330951561031,13.227871124075667,1647.6319590932835,0.24368143949901366,0.7406761895354802
58.370751968067125,0.39019554082246727,119.26270255043295,0.19821575460128785,0.5674528360064435,0.9694502504733843,2.842023247757778,0.5733624089976536,0.2820816071461645,14.28934782720602,2719.281596504674,0.19883747449606043,0.7407336049416317
201.76734295118055,0.599404310803935,105.35459784084927,0.25224655364948495,0.4942593245373183,1.4122913821544576,2.2302181912171766,0.5452193229156637,0.4383616964727359,12.834695291102753,1305.1307185045573,0.2533097612691556,0.7403430939405107
54.67097678935373,0.9259365515838975,147.58673410740846,0.4491365116175555,0.5736050989709628,2.174627283568852,1.9057765128353408,0.5758354412620703,0.815543507659167,10.547824830663412,358.35746762033904,0.4505146989045806,0.7407509514373757
2.7903350202577033,0.2817970523810546,112.81627021702144,0.15035764197317758,0.5773197034163174,0.7236428275011557,3.3122808285947984,0.5773378768707852,0.20136007938866446,15.79280689613163,5078.6200046298,0.15081303893339304,0.740760255113196
78.63452015906377,0.44271894337195583,122.57317010350144,0.2289312866179669,0.5616652886344293,1.1305335054648857,2.621028558633761,0.5710529743512908,0.3389900652327942,13.549039331827021,1933.7899813714919,0.22966459584070859,0.7407154451032916
