a2^(1/2) [MeV],a4 [dimensionless],B^(1/4) [MeV],"eos_type [0, 1, or 2]",rho_surface [10^15 g cm^-3],cs_min [dimensionless],rho_center_max [10^15 g cm^-3],M_max [solar mass],cs_max [dimensionless],rho_center_canonical [10^15 g cm^-3],R_canonical [km],Lambda_canonical [dimensionless],rho_center_k2_max [10^15 g cm^-3],k2_max [dimensionless]
250.88705781281624,0.5847954859464124,96.16685406486744,1.0,1.0000000000000002e-14,0.0,2.634574906198082,2.0454101088653887,0.9678469122069941,0.9856222302130698,11.699847982641511,297.0426009149662,0.6292835170112949,0.10564205453827084
236.29175541136047,0.5233345284692225,179.83848829768135,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
177.56075106738348,0.32545018995292113,121.07836473747679,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
218.36175221386117,0.16976848509565343,59.18790500923389,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
265.92406178256186,0.5654017565722291,157.390246157573,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
165.34035086788515,0.8958014821263114,153.13646832297206,1.0,1.0000000000000002e-14,0.0,3.0308578304965126,1.5795146354333474,0.5653654289753669,1.4713996956239836,10.53041716159117,137.14533294214837,0.8298063799829025,0.0883503743104317
232.52230352219783,0.0701773263175354,104.41371314635762,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
180.80557263879845,0.3006215371166944,154.14891461386122,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
119.05997651058462,0.1398578978394382,9.342568255570626,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
296.00544761495775,0.1631145402457434,38.66993631549689,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
205.98878015817158,0.14444868018315637,161.197680674726,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
266.6932897881531,0.4047348735539593,178.80648624732117,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
210.28808713738323,0.04273279275001809,71.64170943089317,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
19.879249769330468,0.12584572732885427,140.54652000901962,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
186.28548616126264,0.3992022729020144,98.5024977594584,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
61.1107436917959,0.25183785996832736,157.98144709061407,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
277.63835738499773,0.7443968365637922,33.134519897397986,1.0,1.0000000000000002e-14,0.0,3.1746938347630573,1.990347595102899,0.5411904713121073,0.9856222300542024,11.69984786801724,297.0426012113311,0.6293039147413554,0.10564215002401196
151.93870444509042,0.025369540441450133,177.65477911974415,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
216.3972986008491,0.25491276436901333,143.63134417149263,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
175.3224304795603,0.21339348456182167,112.14816397656018,0.0,1.0000000000000002e-14,4.162891923064762e-06,2.8571696585175297,2.048060216223512,0.9880562481221495,0.9856222302766722,11.699848065179255,297.0426007982706,0.629316601446994,0.10564216488608084
178.91575106088038,0.5574654408131093,118.84557354350277,1.0,1.0000000000000002e-14,0.0,3.9861001993414344,2.03579260599924,0.5620364335835124,0.9856222302904997,11.69984818466514,297.04260077100463,0.6292923498639685,0.10564215668835583
